model=v3_resnet50 os=16 crop=300
Train_loss Val_loss Overall_Acc Mean_Acc FreqW_Acc Mean_IoU
0.43591837185160254 0.5726199712007101 0.815382562466773 0.5547849516423043 0.6939063136857979 0.4612861404287056
0.31307402330665535 0.5919781769732483 0.8266695906432748 0.6238952587184529 0.7149304480487797 0.4896076525684557
0.277730567810431 0.5912417933231092 0.8223159489633174 0.6211330108472906 0.7104506217044689 0.5029445397036209
0.43648213908984024 0.5961617191556756 0.8180879106858054 0.565453778475047 0.6975063930523322 0.4615968638768715
0.31506208535398544 0.607387492618033 0.8210557150451887 0.646403492863265 0.7069357783165076 0.4956027594239438
0.2777849160068497 0.5841483707532628 0.8174835619351409 0.6297983842162692 0.7048005536740011 0.5078292975290021
0.25749181770935686 0.5644423989507988 0.8201494311536417 0.5939956790470743 0.7047863631234352 0.47918660841446775
0.24684405859756112 0.44474784819451907 0.846953014354067 0.6641778659600447 0.7430537134187016 0.5453949753253439
0.23334948257539959 0.4894696249989153 0.8346844444444445 0.5996839676539685 0.7216896761871779 0.48718360296329394
0.22521746285581 0.507912960017228 0.8439031897926634 0.6736207718605761 0.7389028625602911 0.5621686451674092
0.21297395019234247 0.5196906916143103 0.8426317384370016 0.6243572813430457 0.7330008854331151 0.5220844029279906
0.20650730314196014 0.5569324598626326 0.840449144072302 0.605229083014252 0.7256380088494194 0.5017508317252343
0.20425299280447393 0.49227388114988346 0.8509658479532164 0.6360511251905582 0.7436951442602058 0.5397729236281004
0.19976191508757749 0.5546541411344331 0.847499298245614 0.653393135780458 0.7414097087703083 0.5490357324368409
0.19894855798392325 0.4982786631026796 0.8321051993620414 0.6191156642571066 0.7164860030786299 0.5162388331774093
0.19575717436847093 0.48558543303995644 0.8357230196703881 0.5994605364310104 0.7215413499444873 0.4958995782822764
0.18938081506397486 0.5019463976944676 0.8415838809144073 0.6187720679656848 0.7293378678672949 0.5056037509096732
0.18707273843902827 0.5481282165771677 0.8353195534290271 0.5834728570716728 0.7214165410027642 0.48135983140004185
0.17807756944430111 0.5326696531633839 0.8439693035619351 0.5832174400443187 0.7335414447357549 0.4910706139852327
0.18184232952750196 0.5197829558933509 0.8476880595427964 0.5767383876988771 0.7368286197464621 0.48774850893376004
