model=v3_resnet50 os=16 crop=300
Train_loss Val_loss Overall_Acc Mean_Acc FreqW_Acc Mean_IoU
0.4286004032411859 0.5993950897045718 0.8138076023391813 0.5549259406801316 0.6798818697842874 0.4659926780325814
0.31345086680912626 0.56548780891049 0.8191335991493887 0.6305638932780274 0.691989576182839 0.4868753907083292
0.2748554147254678 0.5985327014656923 0.8410814354066986 0.637237096825818 0.7283958308291881 0.5334415637927795
0.24405303709642434 0.5580524230244364 0.8159346624136098 0.6737419061187379 0.7026700756455532 0.5105324017106809
0.23122020984230426 0.5651472919400184 0.8392842636895268 0.6973312684811108 0.731932312194063 0.5369379389592125
0.22115795258470874 0.5942186115466002 0.8364690909090909 0.6562619600832243 0.7200266397933479 0.5378658265011403
0.21313611697724305 0.5811722332341526 0.8369823710792131 0.6966925973578452 0.7296227054679253 0.5624706208226232
0.20897614692760444 0.5385428715696317 0.8376726847421584 0.6866500235420204 0.7275818482257272 0.556756039926336
0.2005295946551544 0.5528557695846521 0.8516924295587454 0.7031141403966994 0.7481298493619472 0.5764348484970664
0.19534262745022202 0.5461100137984479 0.8497836257309942 0.6896689160949175 0.7450642574442352 0.5740975767891412
0.18887998307255097 0.607804419373283 0.841415023923445 0.6900403107719298 0.7328935188889346 0.5675351028210333
0.18098542842858462 0.5510434514011135 0.8506238915470494 0.6787911481316833 0.7438462849288813 0.5759727989566511
0.17846694454540543 0.5803273988475326 0.846568442317916 0.7034355386222799 0.7431163242992753 0.5763584159708338
0.17420125820512725 0.6350335707987538 0.8460620520999468 0.6741599654723726 0.7377933125327155 0.5573652700967282
