model=v3plus_resnet50 os=16 crop=300
Overall_Acc Mean_Acc FreqW_Acc Mean_IoU
0.7279144284954812 0.2410208204744173 0.5601824717079109 0.18177675620630107
0.713504221158958 0.2144164421812396 0.5407251166338573 0.16331333920731425
0.730169601275917 0.24526558448308466 0.5623627601518185 0.1911180243410087
0.6937285911749069 0.31544074119144083 0.5397097053748301 0.24163070465881864
0.7287151940457204 0.326820826441892 0.5637554864978678 0.23500787279993074
0.743023668261563 0.3598491203795972 0.5867843410095487 0.27303248809527225
0.7413567783094099 0.37284970316869265 0.5881859736208903 0.28168756832680436
0.7333533014354067 0.3940021809133892 0.5797083610084358 0.2743906771294734
0.7488737373737374 0.3634023959091763 0.5898463340556227 0.26297343031841375
0.7236884104199893 0.3889150980384417 0.5788138655795911 0.2489682670414358
0.7547390005316321 0.4223188587366438 0.604431912814938 0.30567664156268576
0.7307319723551302 0.4044229879956233 0.5902773391987794 0.299075823872962
0.7476954598617757 0.36194157821549316 0.5920712462538366 0.29574215636449247
0.7394286018075492 0.36775823864925256 0.5806007302025984 0.2667573128641691
0.7566292822966507 0.4240800274816807 0.607181967941889 0.3150764053633978
0.7511360127591706 0.43909584677931074 0.604123569939252 0.3219898892029426
0.7374786177565125 0.4051785650943976 0.5887373719195254 0.29429882748215597
0.7662113981924509 0.4180626119438407 0.6237817493025019 0.33281172898412237
0.7500497607655502 0.4304601597393168 0.5952609167956516 0.31304725450786547
0.759753567251462 0.41612163350654074 0.6095365284574163 0.3299409597834589
0.7570361190855928 0.4334865889883334 0.6203612527651183 0.33003664002523764
0.7635531100478469 0.4167820964408902 0.6262201333796257 0.3261149699734535
0.7498852206273259 0.4215844443951556 0.6021781756138181 0.3146034049384229
0.7332547368421053 0.4649420702132538 0.5989753093488533 0.3379328814909724
0.7710940350877193 0.48394213192264335 0.6326894483046832 0.3660370424672638
0.7630391281233386 0.477541639113652 0.6286243896549444 0.36518184953954
0.7697284742158427 0.4149781417086034 0.61605261704481 0.3178398809094243
0.7572264540138224 0.4553975224333729 0.61803610201465 0.36667323972882127
0.7502497926634769 0.44224624443422605 0.6028472514905658 0.3402796307201492
0.7579488569909623 0.4657616148133639 0.6176798718609339 0.3490443490997372
