model=v3plus_resnet50 os=16 crop=300
Overall_Acc Mean_Acc FreqW_Acc Mean_IoU
0.7905832961190856 0.671984438446136 0.6715537312201814 0.5021408927168055
0.8228580435938331 0.6331449514987142 0.7015319426453157 0.5065496005091358
0.8349033811802233 0.6285973215542328 0.7178557514577215 0.5363294325359421
0.8397300159489633 0.6622989263673145 0.7304017372596772 0.558628723297056
0.8400505688463583 0.6484553314661771 0.7288331861517879 0.5424207319525219
0.8456163423710792 0.6745606571623969 0.736498895186465 0.5676332054686718
0.8475484848484849 0.692806532617802 0.7417054380427768 0.5580437220170035
0.8323607655502392 0.6463989442806798 0.7133102066650224 0.5480746231939796
0.8387332110579478 0.6729660429212933 0.7324444789727093 0.5493362362115803
0.8384755342902711 0.6769960785603514 0.7318825851451467 0.5535047010136019
0.8442540138224349 0.6883751405338779 0.737040902704934 0.5671715770301924
0.843907538543328 0.6557807934143968 0.7352017442336396 0.5481203963801908
0.8488969962785752 0.665851135651833 0.7435651582705629 0.57011503993424
0.8498352578415737 0.6765017858928376 0.7463262051512985 0.5744876407406047
0.8486806273258904 0.6717702630289567 0.7405022084756948 0.5703225351501694
0.8439653801169591 0.6468007431566976 0.7333984107790839 0.5626055088999261
0.8464163636363636 0.6856951273404421 0.7407306825263755 0.5798990373068542
0.8456342477405635 0.6493196860533962 0.7359059927907365 0.5641462540444042
0.8580058054226475 0.7282641000357636 0.7600956843445219 0.598400839211999
0.8477419032429558 0.6753026504966684 0.7412426194724241 0.5686043267110495
0.8565209463051568 0.6988112355410521 0.7559089098305638 0.5930806075495978
0.8498397767145136 0.6836023578617628 0.7437409724937304 0.5803549269914621
0.8529303668261563 0.697256874371646 0.750344232809926 0.5879691910053618
0.8544133439659756 0.6834184376383522 0.7513241958480572 0.5854580989596934
0.8433166294524189 0.6860259010330911 0.7378917356468633 0.5594433695066918
0.85018663476874 0.661285334100902 0.7421817046733918 0.5724366825675691
0.849809845826688 0.6760458921573184 0.742560338158484 0.5767917175770768
0.847395980861244 0.657639870196265 0.7390169237226796 0.5643646596928437
0.8478689101541733 0.661986307048105 0.742963066007174 0.5540093734909882
0.8494674322169059 0.6626975590842257 0.7419103667675019 0.5631586852383946
