model=v3_resnet50 os=16 crop=300
Overall_Acc Mean_Acc FreqW_Acc Mean_IoU
0.70933548112706 0.597858334877299 0.5752258144825827 0.41416592996399326
0.7797531206804891 0.5064704564175938 0.6280549960533962 0.38445788109739015
0.77009548112706 0.6082778402665837 0.6407911908161346 0.49398382423798465
0.7478302392344498 0.6306658803631123 0.619018977349359 0.4734141551548144
0.7685404572036151 0.6101562993206524 0.6361624552434147 0.4630961008688943
0.7579475810738968 0.5950007132836905 0.6290376377815129 0.4217962902567123
0.7964673577884104 0.5260556149525161 0.6550389662286998 0.44754657058695363
0.798578947368421 0.6024815228608934 0.6637323530652556 0.5042909995979106
0.8000799255715045 0.5927662096889983 0.664197851026785 0.4716167491721275
0.7933287081339713 0.6292626408388614 0.6693680103475563 0.5160380908628078
0.7586861031366294 0.5983403561516678 0.6295062447078107 0.4303101489080791
0.681064019138756 0.5412255330146541 0.5763485110068898 0.3832534096955853
0.7894015417331207 0.6058109835229025 0.6536934138560805 0.4590196217491056
0.7922850079744816 0.6105476000578046 0.6532979371677331 0.4851674796932716
0.8393284688995215 0.648685959281487 0.7257106415279321 0.5509869235139223
0.7314992557150451 0.5117001244072243 0.5939919048805794 0.3814314749914807
0.8445374056353003 0.6662214038969401 0.7329964791792998 0.570796888304041
0.8084549601275917 0.6299020117452064 0.6769975446314808 0.5127175508904734
0.6579790324295588 0.4932356961873896 0.578424305727861 0.39167801525134127
0.6738431897926634 0.519371913839953 0.5838168238811969 0.38972596320431535
0.6977258692185008 0.5309697472574455 0.6032455860030335 0.41373739849409286
0.8034801063264221 0.5384481381864845 0.6683847833561872 0.45159139981188345
0.7730090164805954 0.602661572772743 0.6462199237343802 0.4343978950219836
0.6741656990962254 0.5037993564738495 0.5864655186610475 0.3963987997324725
0.7805323551302499 0.5577764044447036 0.6507569412803326 0.4348628769068294
0.8218093035619352 0.6188201342934873 0.6983001380895053 0.5225298442268814
0.7148165762892079 0.5665931243416318 0.6085194443121408 0.4208132997795546
0.8452122488038277 0.6665802175937282 0.736348822093227 0.5745196081507272
0.8180655077086656 0.6367209675076065 0.700516224131531 0.5031720554616582
0.7208309409888357 0.6207237014122756 0.6147834587506654 0.43598591923511726
