model=v3plus_resnet50 os=16 crop=300
Overall_Acc Mean_Acc FreqW_Acc Mean_IoU
0.5980878968253969 0.2929620216785717 0.40027951577735565 0.11579941608989953
0.6424665178571428 0.2628639968440439 0.41845388042732995 0.17717574679720471
0.6482186507936508 0.23291046435176516 0.4238889373211934 0.16029338646277733
0.6687515873015873 0.28313780928653265 0.4567322806149969 0.20429771526326396
0.6626121031746032 0.3050450440163789 0.4489695238076354 0.1731043823066387
0.6538839781746032 0.3068673248964918 0.4358721914148661 0.1699852690108059
0.6628126488095238 0.2879051948828334 0.4464985395246824 0.1690122940344537
0.6759184523809524 0.2851965882039189 0.4651144205684526 0.17294385675502744
0.6767515873015874 0.29377579191551684 0.46642128394965665 0.21278339023509812
0.6681139384920635 0.2949986662767988 0.45403116527951115 0.20904440513573935
0.6677727182539682 0.27706723501901 0.4525630246598623 0.19927120235816184
0.6958542162698412 0.30594357896271407 0.4956707199490916 0.18920267016771242
0.7097856646825397 0.30724503747088316 0.5164818376831396 0.23373145440514032
0.6964992559523809 0.3100207728111894 0.4971849323273828 0.22796606488048168
0.6982072916666666 0.3182186653475064 0.49984447146434224 0.19446199699286737
0.6817201388888889 0.29713140285120965 0.4735297203761007 0.21737622485858177
0.6899463293650794 0.30949091940274714 0.48619657198768157 0.22736022456252533
0.7026802083333333 0.3205733751500359 0.5055743322975469 0.19948436184472307
0.7136490575396826 0.31890746111754087 0.5211656114213804 0.20384096197864754
0.695853373015873 0.3107720209583056 0.49426820292866513 0.1935976216705646
0.6915677083333334 0.3173087087706191 0.4886638949726599 0.19390974714571704
0.6988976686507936 0.32797926239138614 0.500125851254798 0.20072427823234007
0.7095662202380952 0.3289620467411861 0.5159353460104221 0.205622878968747
0.6936957341269842 0.351847138285077 0.5019453164009204 0.19515536710052103
0.6830633432539682 0.34651390681134975 0.49089727912649295 0.22262544668214695
0.6960834821428571 0.34368054686256155 0.5078479901027191 0.192177708347633
0.7004336805555555 0.33348495078404644 0.508944832601348 0.19449286256391318
0.6912555555555555 0.3171597057760362 0.49090125653630085 0.1890014252850224
0.6969884424603174 0.32586727547875805 0.49927042171223784 0.19578232716109525
0.687924751984127 0.3294546203495835 0.4865053923750207 0.1925559109590256
