model=v3plus_resnet50 os=16 crop=300
Overall_Acc Mean_Acc FreqW_Acc Mean_IoU
0.8169964274322169 0.5387640330599167 0.6878755309507893 0.4654822052133231
0.8314323019670388 0.6394225275839054 0.7134819179802195 0.545102897632105
0.8331339925571505 0.6623776336963747 0.7169883074193695 0.5555534917622671
0.8414165124933546 0.6843681089408792 0.7350953159619248 0.5737953508499152
0.8356505156831473 0.6926125437681864 0.731093994367259 0.5666195447997003
0.8336664859117491 0.6883883420861922 0.7255360128667776 0.5455509136671093
0.8377654864433812 0.6560865181363303 0.7213125297123266 0.5475940523393056
0.8406136416799574 0.6959978362627918 0.7367804760872605 0.5737745276446635
0.8432210845295056 0.6981342547381689 0.7362122310749968 0.5754782978273446
0.8394545667198299 0.6960450681471492 0.7319833322858844 0.565962925689946
0.8418842317916002 0.6851827965362082 0.733687279378931 0.5450777332162803
0.8424028761297182 0.7052394031353657 0.7341050333214435 0.5799195578503111
0.8491668261562998 0.6926130903399771 0.743976773140202 0.5791131016717502
0.8439637745879851 0.6607309204548981 0.7327173332162329 0.5622727828249661
0.8536312599681021 0.6873274630300714 0.749134741904683 0.575286692960789
0.8420984263689527 0.6753067128963944 0.7317897606148913 0.5545687623313458
0.8513300903774588 0.7047295465956882 0.7488953274760772 0.5904269837827675
0.8447602551834131 0.6151301526495615 0.7353369568211287 0.5124563055119318
0.8525662200956938 0.6759218424686693 0.7467147523897436 0.5837317941300649
0.8549871557682084 0.6776509082630243 0.7510442828070633 0.5860899294283108
0.8528328229665072 0.6813247445047503 0.746179007790184 0.5780179701137014
0.8531040935672515 0.6858266185012377 0.7464614665214346 0.587216776596408
0.8567814673046252 0.7000747553116832 0.7555939232658809 0.5954535041597552
0.8516996278575226 0.6881701492358064 0.7443642898687293 0.5848961382142938
0.8546497607655502 0.6957445613826678 0.7526770883109483 0.5948391440565192
0.8518087400318979 0.6764092053678236 0.7450753028653765 0.5782714257319675
0.8574736523125996 0.6926556768211215 0.7560161698034111 0.5950676394563742
0.8552080808080809 0.6962042816590032 0.7514319557086222 0.5906060356442168
0.8574906220095694 0.7061927351034126 0.7562818499171784 0.6061814991964857
0.8557505475810739 0.6856825111657693 0.7495383676151901 0.5935684813258899
