model=v3_resnet50 os=16 crop=300
Train_loss Val_loss Overall_Acc Mean_Acc FreqW_Acc Mean_IoU
0.7675997498180669 0.8861784166052141 0.7224162360446571 0.19765897486117645 0.5320170075082029 0.15026919889907833
0.6510420974030386 0.8387628375118925 0.7058413503455608 0.21626575355076907 0.5325346368773083 0.16310166339878676
0.6023064990879166 0.7313917358014875 0.7431717384370016 0.2556514371931951 0.5706715128620832 0.20505763619892212
0.571864088406961 0.7801405405270234 0.6954321212121212 0.27509114125343176 0.5355973502469875 0.19980580573613724
0.5417829563077552 0.7954917331688277 0.7078166400850612 0.23732060492836263 0.5370759806245463 0.17809785915468254
0.5252882801429773 0.7779546981776944 0.7236257203615098 0.275405730840343 0.5521854299161025 0.20121975614613974
0.5086778049637078 0.7888406221079463 0.7235065709728867 0.2813117360304878 0.56597781634664 0.21075438848950093
0.503011689834363 0.7479433076641032 0.7248521424774056 0.2601897009041742 0.5624360044155513 0.19758216227422876
0.4794239667100828 0.756633925472052 0.7166483466241361 0.37293905751622525 0.5640228476536928 0.24299360214543908
0.46525399186466754 0.7384743308861748 0.7290762147793727 0.33795980891514726 0.5726469811569954 0.24692928379473045
0.4594989098980768 0.7062591197153995 0.7314570760233918 0.2844541094150349 0.571202040810813 0.2208236772038538
0.4464254358975876 0.6977791398308659 0.7408312599681021 0.33740488333066887 0.5853465452532094 0.2558243615863673
0.4367493152679604 0.7403949276750325 0.7102359170653908 0.39100287087840907 0.5639101858570041 0.2554155563318685
0.42882949761500677 0.7747487748852213 0.7049414566719829 0.30782867024778227 0.5484275373142884 0.23046534306888045
0.4254514970838983 0.7154592559424066 0.734515172780436 0.3509162358877543 0.5810105209396343 0.2523518368996454
0.4123635057316587 0.7695549434150448 0.7146644125465178 0.3721575789750417 0.5641508101975314 0.25018104590712736
0.4057978277007331 0.7230410340405603 0.7406519404572036 0.3816914735809549 0.5890415852491555 0.27779251812625805
0.4005089813893091 0.7408347179302732 0.7479170972886763 0.3794071552276561 0.5930364008433013 0.2790045707910051
0.3997324503942926 0.7514951156580266 0.7224899149388623 0.3731005966243246 0.5756696312508148 0.27466372006308865
0.38715480471987335 0.7125503725677956 0.7397455396065923 0.4027651169093296 0.5905196621039526 0.29974182226331786
0.3807567311967178 0.712066907464093 0.744050451887294 0.3990907467523281 0.5942909432694502 0.28922688079596764
0.37310886515647396 0.7516961530533456 0.7370591706539075 0.4224871276260537 0.5910408124436007 0.2976399658980577
0.37005084332825794 0.7088063377460451 0.7458922488038278 0.41363993610807664 0.5943415682898073 0.30223252120412797
0.3650212159850759 0.6863993889161648 0.7538411695906433 0.42354389977250356 0.6110373273331999 0.31414496162624467
0.36379514169521643 0.7241037597183053 0.7354242849548113 0.40057650636509035 0.5859019391721367 0.2825417879998371
0.3605813354172175 0.6717194091272718 0.7566540882509304 0.41097515703537474 0.6082548858162171 0.31818685999682644
0.3514726691095899 0.7711288818648754 0.7403112599681021 0.3840805566988255 0.5853333914601911 0.2775661157604567
0.3523482375973957 0.7071451636329862 0.7494280276448697 0.4198915293554856 0.6011720572386375 0.3282645997208696
0.3411478216643206 0.7230278901357687 0.7400245933014354 0.41846752043721985 0.5943144830148295 0.308622357924586
0.3411002796880192 0.7678108462736807 0.7411246039340776 0.392700855667365 0.5893657373641645 0.28944137405026044
