model=v3_resnet50 os=16 crop=300
Overall_Acc Mean_Acc FreqW_Acc Mean_IoU
0.5924090164805954 0.2259959356849158 0.4410695867038542 0.1407935181637979
0.6598397873471558 0.21914889102400195 0.4950381884559685 0.1566347028628167
0.7052822541201489 0.22261305866203698 0.5216941599931759 0.1694910393006435
0.6074731632110579 0.3887450780990072 0.4858546712460291 0.23780978075653367
0.6365237745879851 0.2648021490258448 0.4749767751175603 0.18989399473220267
0.588145933014354 0.2923622194885955 0.47981025254004084 0.22513507343107042
0.6035603827751196 0.34681876828258823 0.4930917659249579 0.24189388702932682
0.6098474853801169 0.331725163171858 0.5047097077624022 0.23993464279383117
0.7007746624136098 0.3765920934159562 0.5574015981119881 0.2764108287936222
0.6635845401382243 0.4286385512656532 0.5307016104714753 0.27297447692649396
0.7287207442849548 0.3551472850874591 0.5625346811335518 0.25422931391750375
0.6587412652844232 0.3415626673060659 0.5234368737992126 0.27911310696864916
0.7037908878256247 0.3499592145108344 0.5554816450878618 0.2524740342368559
0.6868722488038278 0.41705728765509975 0.5491722320720298 0.28808762946768085
0.618049548112706 0.40048545896927795 0.5091069911669147 0.2638419641879029
0.622069197235513 0.4457184650091981 0.5152939009692413 0.30137118009220254
0.7150808825093036 0.45169086541979037 0.571592638228578 0.3203952452535588
0.619575023923445 0.40579478245531136 0.5044656017195293 0.25479111346881717
0.6928398936735779 0.4345128035163406 0.5525771971278614 0.26975068301075483
0.6491628070175438 0.42791455260068406 0.5138507373027291 0.2989036333636192
0.6515828070175439 0.37701725138962544 0.5179925873320318 0.24946220113666503
0.7339230728335991 0.4575096070330691 0.5947159518016685 0.36498561591397527
0.6729043062200957 0.39325373113556933 0.5274221099189507 0.27773673316192854
0.6225895481127061 0.41905360248658524 0.5238957757296789 0.29656225208412135
0.6732083997873471 0.47316959211358994 0.5528668517241957 0.33142245089516315
0.6319121212121213 0.3833810253537538 0.5079239755370811 0.2620425518775012
0.6994622753854333 0.461519027985048 0.5551510289458164 0.31585614344917773
0.6942167145135566 0.5133727042955394 0.5721125127060103 0.3608827843343588
0.6610367251461988 0.48819001178008575 0.5302923339204457 0.335645615597215
0.6317589792663477 0.3914068575594542 0.518400193791956 0.26729678863004025
