model=v3plus_resnet50 os=16 crop=300
Overall_Acc Mean_Acc FreqW_Acc Mean_IoU
0.8124412652844232 0.6059877699502282 0.6863497720064751 0.499381650663012
0.8305527060074428 0.6023159151764956 0.7110392937198944 0.5217204314219471
0.8413221052631579 0.6826717207914564 0.7357659365360893 0.5693499188770087
0.8415739393939394 0.6730754402240834 0.7317832980914046 0.5607045825262448
0.8315937799043063 0.676635008960038 0.7225366371502764 0.5527097443077463
0.8467091334396597 0.6852284830872586 0.7428405012929149 0.5773553449581054
0.8451828389154705 0.668612343725406 0.7385902396753943 0.5650166314484135
0.8396019138755981 0.6923984040232819 0.7306189076482562 0.5574232007086412
0.8381841998936735 0.6968683183834962 0.7323592008025139 0.5831404783709818
0.8396794790005316 0.7004420482818406 0.7332315974631796 0.5852416603590347
0.8442014673046252 0.6852211971209107 0.737772568431609 0.5733264450260624
0.8431923019670388 0.6858454256940384 0.7365724647915725 0.5802138276287231
0.8375626581605529 0.7075202513235341 0.7306151213338533 0.5769024185094024
0.8478256140350877 0.6732887145150291 0.7407410128589718 0.5813807377915461
0.8478459542796385 0.6945406911519078 0.7440059530499846 0.5852479368971496
0.8433373950026581 0.6898173961046755 0.7352784392542255 0.5782377582644743
0.8472977990430622 0.6926337304500881 0.7416098832588466 0.5871766349916147
0.8378576501860713 0.6726569964543384 0.7280576966287379 0.5719673696492787
0.8420836469962786 0.7022360588838691 0.7365251776765412 0.5894385746489109
0.8442060606060606 0.6763816133192972 0.735170712638668 0.5782810405244089
0.8443899946836789 0.6750537396878326 0.7354280040285911 0.5768679554378316
0.8402617012227539 0.6932372293239841 0.7341583249360407 0.5858592080642822
0.8494992344497607 0.6979850572068879 0.7448991148437883 0.5918459445382025
0.8443046039340776 0.706474514211259 0.7400800217994711 0.58910284003852
0.8373418713450292 0.695472449210674 0.729008907404954 0.5834213516409604
0.8403767570441255 0.6960985315314829 0.7336926747445236 0.5851525287220444
0.8457129930887826 0.6973999979659496 0.7406745765728425 0.5889156977349199
0.8406927698032961 0.6903138676671124 0.734645383781315 0.5821744472472478
0.8495075385433281 0.6954354489626976 0.7447328893096884 0.588273662656341
0.8448929505582137 0.6898884522613487 0.7389177603679711 0.5848305693247516
